brewery_name,brewery_location,brewery_type,number_beers,number_ratings,brewery_ratings
Tree House Brewing Company,"Charlton, MA United States",Regional Brewery,842,4172821,4.336
The Alchemist,"Stowe, VT United States",Regional Brewery,112,728071,4.332
Trillium Brewing Company,"Canton, MA United States",Regional Brewery,587,2762191,4.257
Other Half Brewing Co.,"Brooklyn, NY United States",Regional Brewery,1600,3941845,4.227
Equilibrium Brewery,"Middletown, NY United States",Regional Brewery,598,1455948,4.202
Russian River Brewing Company,"Windsor, CA United States",Regional Brewery,175,1302667,4.174
Great Notion Brewing,"Portland, OR United States",Regional Brewery,718,858910,4.156
Toppling Goliath Brewing Co.,"Decorah, IA United States",Regional Brewery,137,1775329,4.148
Kane Brewing Company,"Ocean, NJ United States",Regional Brewery,732,642428,4.113
Parish Brewing Co.,"Broussard, LA United States",Regional Brewery,252,439580,4.096
Aslin Beer Company,"Alexandria, VA United States",Regional Brewery,772,1136638,4.078
Bearded Iris Brewing,"Nashville, TN United States",Regional Brewery,343,586698,4.076
Old Nation Brewing Co.,"Williamston, MI United States",Regional Brewery,232,425033,4.075
Prairie Artisan Ales,"Krebs, OK United States",Regional Brewery,1014,2326600,4.074
The Bruery,"Placentia, CA United States",Regional Brewery,598,2015308,4.071
New England Brewing Co.,"Woodbridge, CT United States",Regional Brewery,336,327691,4.046
Fiddlehead Brewing Company,"Shelburne, VT United States",Regional Brewery,136,276952,4.041
Maine Beer Company,"Freeport, ME United States",Regional Brewery,24,1102416,4.039
Fremont Brewing,"Seattle, WA United States",Regional Brewery,693,865070,4.039
Jackie O's Brewery,"Athens, OH United States",Regional Brewery,360,900674,4.037
Wild Leap Brew Co.,"La Grange, GA United States",Regional Brewery,87,190996,4.022
Untitled Art,"Waunakee, WI United States",Regional Brewery,316,891946,4.022
Revision Brewing Company,"Sparks, NV United States",Regional Brewery,246,511146,4.016
SingleCut Beersmiths,"Astoria, NY United States",Regional Brewery,294,1037212,4.013
Modern Times Beer,"San Diego, CA United States",Regional Brewery,1673,2096975,4.007
Westbrook Brewing Co.,"Mt Pleasant, SC United States",Regional Brewery,276,960991,4.005
3 Floyds Brewing,"Munster, IN United States",Regional Brewery,424,2537776,4.002
The Bruery Terreux,"Anaheim, CA United States",Regional Brewery,337,675893,3.996
Creature Comforts Brewing Co.,"Athens, GA United States",Regional Brewery,380,369693,3.987
Fort George Brewery,"Astoria, OR United States",Regional Brewery,296,486789,3.985
Pinthouse Pizza,"Austin, TX United States",Regional Brewery,952,244092,3.985
New Trail Brewing Co.,"Williamsport, PA United States",Regional Brewery,281,575762,3.974
AleSmith Brewing Company,"San Diego, CA United States",Regional Brewery,553,1268889,3.972
FieldworkÂ® Brewing Company,"Berkeley, CA United States",Regional Brewery,723,681064,3.965
Industrial Arts Brewing,"Beacon, NY United States",Regional Brewery,90,277331,3.965
Maplewood Brewing Company,"Chicago, IL United States",Regional Brewery,290,392319,3.961
Almanac,"Alameda, CA United States",Regional Brewery,384,853433,3.96
Twelve5 Beverage Co.,"Neenah, WI United States",Regional Brewery,27,18009,3.953
Sloop Brewing Co.,"Hopewell Junction, NY United States",Regional Brewery,178,553104,3.951
Big Grove Brewery,"Iowa City, IA United States",Regional Brewery,556,231838,3.948
La Cumbre Brewing Company,"Albuquerque, NM United States",Regional Brewery,616,191219,3.947
Boneyard Beer,"Bend, OR United States",Regional Brewery,269,254996,3.94
Firestone Walker Brewing Company,"Paso Robles, CA United States",Regional Brewery,93,3585796,3.939
Half Acre Beer Company,"Chicago, IL United States",Regional Brewery,639,1177446,3.938
Offshoot Beer Co.,"Placentia, CA United States",Regional Brewery,85,219345,3.935
HenHouse Brewing Company,"Santa Rosa, CA United States",Regional Brewery,262,176088,3.929
The Starkeller Brewery + Taproom,"New Ulm, MN United States",Regional Brewery,43,41578,3.928
Alpine Beer Company,"Fort Collins, CO United States",Regional Brewery,263,611536,3.915
Melvin Brewing,"Alpine, WY United States",Regional Brewery,640,436822,3.914
Hardywood Park Craft Brewery,"Richmond, VA United States",Regional Brewery,595,775928,3.912
